Tahun,Quarter,Malaysia,Kuala Lumpur,Selangor,Johor,Pulau Pinang,Negeri Sembilan,Perak,Melaka,Kedah,Pahang,Terengganu,Kelantan,Perlis,Sabah,Sarawak
2009,Q1,"  199,431 ","  352,531 ","  217,922 ","  154,985 ","  207,959 ","  129,768 ","  111,259 ","  103,437 ","  119,524 ","  131,402 ","  145,232 ","  97,681 ","  96,534 ","  219,709 ","  243,246 "
2009,Q2,"  203,511 ","  360,813 ","  221,584 ","  166,284 ","  217,624 ","  130,640 ","  109,478 ","  103,902 ","  122,054 ","  138,156 ","  147,434 ","  102,937 ","  103,080 ","  231,972 ","  243,428 "
2009,Q3,"  206,268 ","  368,944 ","  228,034 ","  160,104 ","  219,988 ","  130,599 ","  108,088 ","  108,600 ","  123,288 ","  136,066 ","  153,348 ","  107,936 ","  107,340 ","  232,904 ","  234,335 "
2009,Q4,"  208,670 ","  377,406 ","  233,221 ","  154,018 ","  223,494 ","  129,027 ","  112,737 ","  106,226 ","  125,803 ","  134,332 ","  153,033 ","  110,912 ","  112,204 ","  238,698 ","  246,710 "
2010,Q1,"  209,763 ","  379,441 ","  234,172 ","  161,791 ","  223,214 ","  132,266 ","  112,127 ","  104,876 ","  126,813 ","  132,844 ","  158,549 ","  111,713 ","  108,613 ","  247,677 ","  244,295 "
2010,Q2,"  216,561 ","  394,928 ","  241,505 ","  159,176 ","  226,475 ","  133,206 ","  113,568 ","  108,888 ","  130,106 ","  135,645 ","  160,847 ","  106,026 ","  110,589 ","  249,796 ","  254,865 "
2010,Q3,"  220,154 ","  400,493 ","  247,923 ","  164,368 ","  226,043 ","  136,187 ","  115,099 ","  111,934 ","  132,174 ","  137,358 ","  163,210 ","  112,320 ","  112,517 ","  257,812 ","  263,935 "
2010,Q4,"  224,952 ","  410,511 ","  255,006 ","  163,209 ","  233,158 ","  138,768 ","  120,472 ","  115,334 ","  135,195 ","  140,338 ","  171,559 ","  120,241 ","  110,049 ","  267,141 ","  258,565 "
2011,Q1,"  229,561 ","  420,488 ","  262,111 ","  164,472 ","  235,532 ","  147,643 ","  123,527 ","  112,195 ","  134,099 ","  142,866 ","  171,717 ","  121,561 ","  120,966 ","  270,116 ","  265,809 "
2011,Q2,"  235,706 ","  443,055 ","  266,858 ","  168,734 ","  241,901 ","  146,568 ","  126,857 ","  114,150 ","  141,092 ","  145,193 ","  181,169 ","  115,595 ","  122,713 ","  278,194 ","  270,673 "
2011,Q3,"  241,626 ","  454,316 ","  274,279 ","  171,387 ","  246,856 ","  149,224 ","  128,702 ","  116,455 ","  140,203 ","  160,280 ","  185,265 ","  121,041 ","  126,207 ","  295,449 ","  277,791 "
2011,Q4,"  250,289 ","  468,527 ","  285,666 ","  175,693 ","  258,074 ","  153,062 ","  132,871 ","  117,894 ","  143,092 ","  162,157 ","  191,252 ","  127,791 ","  130,232 ","  306,305 ","  275,162 "
2012,Q1,"  258,614 ","  495,241 ","  293,789 ","  176,896 ","  262,175 ","  162,837 ","  135,807 ","  117,036 ","  144,131 ","  166,544 ","  195,190 ","  120,469 ","  117,585 ","  309,832 ","  298,271 "
2012,Q2,"  267,359 ","  486,716 ","  315,747 ","  185,409 ","  274,361 ","  158,644 ","  137,166 ","  121,228 ","  144,082 ","  175,847 ","  202,122 ","  123,100 ","  131,863 ","  315,155 ","  297,040 "
2012,Q3,"  273,552 ","  499,873 ","  322,794 ","  189,178 ","  281,705 ","  158,378 ","  143,477 ","  119,303 ","  149,686 ","  170,453 ","  205,490 ","  124,702 ","  127,741 ","  337,384 ","  295,657 "
2012,Q4,"  286,011 ","  551,143 ","  319,901 ","  212,351 ","  289,682 ","  164,217 ","  147,946 ","  125,368 ","  150,784 ","  178,874 ","  208,647 ","  135,290 ","  131,176 ","  330,198 ","  329,205 "
2013,Q1,"  287,181 ","  554,754 ","  317,955 ","  217,344 ","  296,501 ","  165,014 ","  146,606 ","  131,112 ","  158,044 ","  175,991 ","  215,852 ","  140,784 ","  131,926 ","  350,065 ","  336,693 "
2013,Q2,"  297,885 ","  565,838 ","  332,640 ","  230,374 ","  316,924 ","  169,045 ","  149,400 ","  129,778 ","  159,300 ","  183,675 ","  226,553 ","  139,868 ","  136,477 ","  348,819 ","  339,747 "
2013,Q3,"  309,849 ","  594,989 ","  348,306 ","  237,382 ","  330,311 ","  173,151 ","  154,803 ","  126,306 ","  164,809 ","  187,042 ","  229,370 ","  140,211 ","  136,881 ","  359,469 ","  346,098 "
2013,Q4,"  312,940 ","  604,388 ","  349,767 ","  243,852 ","  339,225 ","  176,010 ","  154,736 ","  128,362 ","  164,408 ","  192,195 ","  229,280 ","  147,651 ","  145,579 ","  371,895 ","  333,579 "
2014,Q1,"  316,415 ","  605,687 ","  354,918 ","  242,077 ","  344,291 ","  175,002 ","  161,002 ","  128,652 ","  167,726 ","  192,405 ","  231,990 ","  150,498 ","  152,651 ","  370,319 ","  347,103 "
2014,Q2,"  327,900 ","  625,979 ","  361,764 ","  265,324 ","  354,538 ","  184,032 ","  164,821 ","  133,476 ","  168,049 ","  196,522 ","  235,273 ","  150,186 ","  149,595 ","  379,872 ","  359,131 "
2014,Q3,"  337,307 ","  649,706 ","  372,708 ","  278,746 ","  365,653 ","  190,903 ","  168,192 ","  136,602 ","  170,472 ","  200,814 ","  236,901 ","  148,653 ","  154,848 ","  387,054 ","  364,878 "
2014,Q4,"  340,089 ","  650,473 ","  374,767 ","  274,239 ","  368,630 ","  193,447 ","  167,190 ","  139,796 ","  175,151 ","  207,381 ","  243,554 ","  150,690 ","  159,046 ","  397,827 ","  364,963 "
